country_iso3,base_rank,best_rank_without_one_dimension,worst_rank_without_one_dimension,rank_span_without_one_dimension,status
JPN,1,1,1,0,experimental-results-ranking-not-iee
KOR,2,2,2,0,experimental-results-ranking-not-iee
CHE,3,3,12,9,experimental-results-ranking-not-iee
NLD,4,5,7,2,experimental-results-ranking-not-iee
IRL,5,3,10,7,experimental-results-ranking-not-iee
DNK,6,4,13,9,experimental-results-ranking-not-iee
AUS,7,3,11,8,experimental-results-ranking-not-iee
ISL,8,4,14,10,experimental-results-ranking-not-iee
SVN,9,4,15,11,experimental-results-ranking-not-iee
ESP,10,5,14,9,experimental-results-ranking-not-iee
GBR,11,8,17,9,experimental-results-ranking-not-iee
SWE,12,8,15,7,experimental-results-ranking-not-iee
FIN,13,7,16,9,experimental-results-ranking-not-iee
EST,14,6,21,15,experimental-results-ranking-not-iee
CAN,15,13,23,10,experimental-results-ranking-not-iee
ITA,16,7,22,15,experimental-results-ranking-not-iee
FRA,17,16,21,5,experimental-results-ranking-not-iee
LUX,18,12,23,11,experimental-results-ranking-not-iee
POL,19,13,24,11,experimental-results-ranking-not-iee
CZE,20,17,24,7,experimental-results-ranking-not-iee
AUT,21,19,20,1,experimental-results-ranking-not-iee
ISR,22,15,27,12,experimental-results-ranking-not-iee
USA,23,18,25,7,experimental-results-ranking-not-iee
TUR,24,20,27,7,experimental-results-ranking-not-iee
GRC,25,22,27,5,experimental-results-ranking-not-iee
LTU,26,24,28,4,experimental-results-ranking-not-iee
CHL,27,26,30,4,experimental-results-ranking-not-iee
HUN,28,24,30,6,experimental-results-ranking-not-iee
LVA,29,28,31,3,experimental-results-ranking-not-iee
SVK,30,26,31,5,experimental-results-ranking-not-iee
CRI,31,29,32,3,experimental-results-ranking-not-iee
COL,32,32,33,1,experimental-results-ranking-not-iee
MEX,33,31,33,2,experimental-results-ranking-not-iee
