country_iso3,exploratory_rank,exploratory_results_score_0_100,education_score_0_100,health_score_0_100,administration_score_0_100,security_justice_score_0_100,status
JPN,1,95.3125,96.875,96.875,87.5,100,experimental-results-ranking-not-iee
KOR,2,92.1875,93.75,87.5,100,87.5,experimental-results-ranking-not-iee
CHE,3,72.6562,59.375,100,37.5,93.75,experimental-results-ranking-not-iee
NLD,4,71.8750,71.875,68.75,78.125,68.75,experimental-results-ranking-not-iee
IRL,5,71.0938,81.25,62.5,56.25,84.375,experimental-results-ranking-not-iee
DNK,6,69.5312,65.625,59.375,96.875,56.25,experimental-results-ranking-not-iee
AUS,7,68.3594,62.5,79.6875,81.25,50,experimental-results-ranking-not-iee
ISL,8,66.4062,37.5,93.75,68.75,65.625,experimental-results-ranking-not-iee
SVN,9,65.6250,78.125,40.625,53.125,90.625,experimental-results-ranking-not-iee
ESP,10,64.8438,43.75,71.875,65.625,78.125,experimental-results-ranking-not-iee
GBR,11,64.0625,75,43.75,90.625,46.875,experimental-results-ranking-not-iee
SWE,12,63.2812,68.75,84.375,59.375,40.625,experimental-results-ranking-not-iee
FIN,13,62.5000,87.5,56.25,71.875,34.375,experimental-results-ranking-not-iee
EST,14,60.1562,100,21.875,93.75,25,experimental-results-ranking-not-iee
CAN,15,54.6875,90.625,53.125,46.875,28.125,experimental-results-ranking-not-iee
ITA,16,53.9062,28.125,75,15.625,96.875,experimental-results-ranking-not-iee
FRA,17,50.0000,50,65.625,40.625,43.75,experimental-results-ranking-not-iee
LUX,18,49.6094,25,79.6875,12.5,81.25,experimental-results-ranking-not-iee
POL,19,48.4375,84.375,15.625,21.875,71.875,experimental-results-ranking-not-iee
CZE,20,47.6562,56.25,28.125,31.25,75,experimental-results-ranking-not-iee
AUT,21,46.0938,46.875,50,34.375,53.125,experimental-results-ranking-not-iee
ISR,22,46.0938,18.75,90.625,43.75,31.25,experimental-results-ranking-not-iee
USA,23,40.6250,53.125,25,75,9.375,experimental-results-ranking-not-iee
TUR,24,38.2812,15.625,31.25,84.375,21.875,experimental-results-ranking-not-iee
GRC,25,36.7188,12.5,46.875,28.125,59.375,experimental-results-ranking-not-iee
LTU,26,31.2500,34.375,9.375,62.5,18.75,experimental-results-ranking-not-iee
CHL,27,27.3438,9.375,37.5,50,12.5,experimental-results-ranking-not-iee
HUN,28,25.0000,31.25,3.125,3.125,62.5,experimental-results-ranking-not-iee
LVA,29,21.8750,40.625,6.25,25,15.625,experimental-results-ranking-not-iee
SVK,30,17.9688,21.875,12.5,0,37.5,experimental-results-ranking-not-iee
CRI,31,12.5000,3.125,34.375,6.25,6.25,experimental-results-ranking-not-iee
COL,32,7.8125,0,18.75,9.375,3.125,experimental-results-ranking-not-iee
MEX,33,6.2500,6.25,0,18.75,0,experimental-results-ranking-not-iee
